# AC-P1-10 raw transcript

## Final comparison
baseline_final_jaccard=0.5000
baseline_without_intervention_drift=0.5000
with_intervention_final_jaccard=1.0000
with_intervention_drift=0.0000

## baseline without_intervention per-iter table
Formula per row: jaccard = |input_tokens ∩ output_tokens| / |input_tokens ∪ output_tokens|; drift = 1 - jaccard
iter=1 | input_tokens=[anti, based, coverage, decision, drift, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[based, coverage, decision, drift, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | intersection=13 | union=14 | jaccard=13/14=0.9286 | drift=0.0714 | should_replace=false
iter=2 | input_tokens=[based, coverage, decision, drift, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[based, coverage, decision, drift, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | intersection=13 | union=13 | jaccard=13/13=1.0000 | drift=0.0000 | should_replace=false
iter=3 | input_tokens=[based, coverage, decision, drift, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[accident, based, decision, drift, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | intersection=12 | union=14 | jaccard=12/14=0.8571 | drift=0.1429 | should_replace=false
iter=4 | input_tokens=[accident, based, decision, drift, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[accident, based, decision, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | intersection=12 | union=13 | jaccard=12/13=0.9231 | drift=0.0769 | should_replace=false
iter=5 | input_tokens=[accident, based, decision, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[accident, based, decision, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | intersection=12 | union=12 | jaccard=12/12=1.0000 | drift=0.0000 | should_replace=false
iter=6 | input_tokens=[accident, based, decision, extractor, f027, gate, haiku, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[accident, based, decision, extractor, f027, gate, ledger, merger, rule, tombstone, viewfinder] | intersection=11 | union=12 | jaccard=11/12=0.9167 | drift=0.0833 | should_replace=false
iter=7 | input_tokens=[accident, based, decision, extractor, f027, gate, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[accident, decision, extractor, f027, gate, ledger, merger, rule, tombstone, viewfinder] | intersection=10 | union=11 | jaccard=10/11=0.9091 | drift=0.0909 | should_replace=false
iter=8 | input_tokens=[accident, decision, extractor, f027, gate, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[accident, decision, extractor, f027, gate, ledger, merger, rule, tombstone, viewfinder] | intersection=10 | union=10 | jaccard=10/10=1.0000 | drift=0.0000 | should_replace=false
iter=9 | input_tokens=[accident, decision, extractor, f027, gate, ledger, merger, rule, tombstone, viewfinder] | output_tokens=[accident, approve, decision, extractor, f027, gate, ledger, lorry, merger, rule, tombstone, viewfinder] | intersection=10 | union=12 | jaccard=10/12=0.8333 | drift=0.1667 | should_replace=false
iter=10 | input_tokens=[accident, approve, decision, extractor, f027, gate, ledger, lorry, merger, rule, tombstone, viewfinder] | output_tokens=[accident, approve, decision, extractor, gate, ledger, lorry, merger, rule, tombstone, viewfinder] | intersection=11 | union=12 | jaccard=11/12=0.9167 | drift=0.0833 | should_replace=false
iter=11 | input_tokens=[accident, approve, decision, extractor, gate, ledger, lorry, merger, rule, tombstone, viewfinder] | output_tokens=[accident, approve, decision, extractor, gate, ledger, lorry, merger, rule, viewfinder] | intersection=10 | union=11 | jaccard=10/11=0.9091 | drift=0.0909 | should_replace=false
iter=12 | input_tokens=[accident, approve, decision, extractor, gate, ledger, lorry, merger, rule, viewfinder] | output_tokens=[accident, approve, decision, extractor, gate, ledger, lorry, merger, rule, viewfinder] | intersection=10 | union=10 | jaccard=10/10=1.0000 | drift=0.0000 | should_replace=false
iter=13 | input_tokens=[accident, approve, decision, extractor, gate, ledger, lorry, merger, rule, viewfinder] | output_tokens=[accident, approve, decision, extractor, gate, ledger, lorry, merger, rule, tombstone, viewfinder] | intersection=10 | union=11 | jaccard=10/11=0.9091 | drift=0.0909 | should_replace=false
